Name	Type	Microbiome	SRA_accession	Comments
Muegge_mammals_animals_illumina	amplicon	kangaroo	ERR3861428	Found this study from SRA and I was not able to find the paper
Muegge_mammals_animals_illumina	amplicon	kangaroo	ERR3861429	Found this study from SRA and I was not able to find the paper
gut microbiome of farm animals	amplicon	cow	SRR20217702	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	sheep	SRR20217712	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	rabbit	SRR20217714	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217721	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	pig	SRR20217749	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	compost	SRR20217780	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217786	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217787	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217788	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217817	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR20217827	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	camel	SRR20217833	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	deer	SRR20218138	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218139	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218140	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218141	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218142	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218143	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218145	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218146	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218147	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218148	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218149	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218150	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218151	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218152	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218153	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218154	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218156	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218157	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218158	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	yak	SRR20218159	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214158	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214159	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214163	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214164	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214166	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214168	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22214172	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22727855	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22727856	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22727859	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22727860	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
gut microbiome of farm animals	amplicon	cow	SRR22727861	Could not find the paper for this study. This is an immense study that includes a lot of farm animals
not implemented	amplicon	Unknown	ERR227180	not implemented
	amplicon	Unknown	ERR227181	
	amplicon	Unknown	ERR227182	
	amplicon	Unknown	ERR227183	
	amplicon	Unknown	ERR227184	
	amplicon	Unknown	ERR227185	
	amplicon	Unknown	ERR227186	
	amplicon	Unknown	ERR227187	
	amplicon	Unknown	ERR227188	
	amplicon	Unknown	ERR227189	
	amplicon	Unknown	ERR227190	
	amplicon	Unknown	ERR227191	
	amplicon	Unknown	ERR227192	
	amplicon	Unknown	ERR227193	
	amplicon	Unknown	ERR227194	
	amplicon	Unknown	ERR227195	
	amplicon	Unknown	ERR227196	
	amplicon	Unknown	ERR227197	
	amplicon	Unknown	ERR227198	
	amplicon	Unknown	ERR227199	
	amplicon	Unknown	ERR227200	
	amplicon	Unknown	ERR227201	
	amplicon	Unknown	ERR227202	
	amplicon	Unknown	ERR227203	
	amplicon	Unknown	ERR227204	
	amplicon	Unknown	ERR227205	
	amplicon	Unknown	ERR227206	
	amplicon	Unknown	ERR227207	
	amplicon	Unknown	ERR227208	
	amplicon	Unknown	ERR227209	
	amplicon	Unknown	ERR227210	
	amplicon	Unknown	ERR227211	
	amplicon	Unknown	ERR227212	
	amplicon	Unknown	ERR227213	
	amplicon	Unknown	ERR227214	
	amplicon	Unknown	ERR227215	
	amplicon	Unknown	ERR227216	
	amplicon	Unknown	ERR227217	
	amplicon	Unknown	ERR227218	
	amplicon	Unknown	ERR227219	
	amplicon	Unknown	ERR227220	
	amplicon	Unknown	ERR227221	
	amplicon	Unknown	ERR227222	
	amplicon	Unknown	ERR227223	
	amplicon	Unknown	ERR227224	
	amplicon	Unknown	ERR227225	
	amplicon	Unknown	ERR227226	
	amplicon	Unknown	ERR227227	
	amplicon	Unknown	ERR227228	
	amplicon	Unknown	ERR227229	
	amplicon	Unknown	ERR227230	
	amplicon	Unknown	ERR227231	
	amplicon	Unknown	ERR227232	
	amplicon	Unknown	ERR227233	
	amplicon	Unknown	ERR227234	
	amplicon	Unknown	ERR227235	
	amplicon	Unknown	ERR227236	
	amplicon	Unknown	ERR227237	
	amplicon	Unknown	ERR227238	
	amplicon	Unknown	ERR227239	
	amplicon	Unknown	ERR227240	
	amplicon	Unknown	ERR227241	
	amplicon	Unknown	ERR227242	
	amplicon	Unknown	ERR227243	
	amplicon	Unknown	ERR227244	
	amplicon	Unknown	ERR227245	
	amplicon	Unknown	ERR227246	
	amplicon	Unknown	ERR227247	
	amplicon	Unknown	ERR227248	
	amplicon	Unknown	ERR227249	
	amplicon	Unknown	ERR227250	
	amplicon	Unknown	ERR227251	
	amplicon	Unknown	ERR227252	
	amplicon	Unknown	ERR227253	
	amplicon	Unknown	ERR227254	
	amplicon	Unknown	ERR227255	
	amplicon	Unknown	ERR227256	
	amplicon	Unknown	ERR227257	
	amplicon	Unknown	ERR227258	
	amplicon	Unknown	ERR227259	
	amplicon	Unknown	ERR227260	
	amplicon	Unknown	ERR227261	
	amplicon	Unknown	ERR227262	
	amplicon	Unknown	ERR227263	
	amplicon	Unknown	ERR227264	
	amplicon	Unknown	ERR227265	
	amplicon	Unknown	ERR227266	
	amplicon	Unknown	ERR227267	
	amplicon	Unknown	ERR227268	
	amplicon	Unknown	ERR227269	
	amplicon	Unknown	ERR227270	
	amplicon	Unknown	ERR227271	
	amplicon	Unknown	ERR227272	
	amplicon	Unknown	ERR227273	
	amplicon	Unknown	ERR227274	
	amplicon	Unknown	ERR227275	
	amplicon	Unknown	ERR227276	
	amplicon	Unknown	ERR227277	
	amplicon	Unknown	ERR227278	
	amplicon	Unknown	ERR227279	
	amplicon	Unknown	ERR227280	
	amplicon	Unknown	ERR227281	
	amplicon	Unknown	ERR227282	
	amplicon	Unknown	ERR227283	
	amplicon	Unknown	ERR227284	
	amplicon	Unknown	ERR227285	
	amplicon	Unknown	ERR227286	
	amplicon	Unknown	ERR227287	
	amplicon	Unknown	ERR227288	
	amplicon	Unknown	ERR227289	
	amplicon	Unknown	ERR227290	
	amplicon	Unknown	ERR227291	
	amplicon	Unknown	ERR227292	
	amplicon	Unknown	ERR227293	
	amplicon	Unknown	ERR227294	
	amplicon	Unknown	ERR227295	
	amplicon	Unknown	ERR227296	
	amplicon	Unknown	ERR227297	
	amplicon	Unknown	ERR227298	
	amplicon	Unknown	ERR227299	
	amplicon	Unknown	ERR227300	
	amplicon	Unknown	ERR227301	
	amplicon	Unknown	ERR227302	
	amplicon	Unknown	ERR227303	
	amplicon	Unknown	ERR227304	
	amplicon	Unknown	ERR227305	
	amplicon	Unknown	ERR227306	
	amplicon	Unknown	ERR227307	
	amplicon	Unknown	ERR227308	
	amplicon	Unknown	ERR227309	
	amplicon	Unknown	ERR227310	
	amplicon	Unknown	ERR227311	
	amplicon	Unknown	ERR227312	
	amplicon	Unknown	ERR227313	
	amplicon	Unknown	ERR227314	
	amplicon	Unknown	ERR227315	
	amplicon	Unknown	ERR227316	
	amplicon	Unknown	ERR227317	
	amplicon	Unknown	ERR227318	
	amplicon	Unknown	ERR227319	
	amplicon	Unknown	ERR227320	
	amplicon	Unknown	ERR227321	
	amplicon	Unknown	ERR227322	
	amplicon	Unknown	ERR227323	
	amplicon	Unknown	ERR227324	
	amplicon	Unknown	ERR227325	
	amplicon	Unknown	ERR227326	
	amplicon	Unknown	ERR227327	
	amplicon	Unknown	ERR227328	
	amplicon	Unknown	ERR227329	
	amplicon	Unknown	ERR227330	
	amplicon	Unknown	ERR227331	
	amplicon	Unknown	ERR227332	
	amplicon	Unknown	ERR227333	
	amplicon	Unknown	ERR227334	
